cas_number,name_ja,name_en,regulation_type,regulation_class,regulation_label,special_management,special_organic,carcinogen,health_check_required,health_check_type,health_check_interval,health_check_ref,control_concentration,control_concentration_unit,threshold_pct,record_retention_years,work_env_measurement_required
156-60-5,"1,2-ジクロロエチレン","trans-1,2-Dichloroethylene",organic,1,有機則第1種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,150.0,ppm,5%を超える含有製剤,5,True
75-15-0,二硫化炭素,Carbon disulfide,organic,1,有機則第1種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,1.0,ppm,5%を超える含有製剤,5,True
67-64-1,アセトン,Acetone,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,500.0,ppm,5%を超える含有製剤,5,True
78-83-1,イソブチルアルコール,"isobutyl alcohol,
Isobutanol,
2-Methyl-1-propanol",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
67-63-0,イソプロピルアルコール,"Isopropyl alcohol, 2-Propanol",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,200.0,ppm,5%を超える含有製剤,5,True
123-51-3,イソペンチルアルコール,"Isopentyl alcohol,
Isoamylalcohol",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,100.0,ppm,5%を超える含有製剤,5,True
60-29-7,エチルエーテル,Ethyl ether,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,400.0,ppm,5%を超える含有製剤,5,True
110-80-5,エチレングリコールモノエチルエーテル,"Ethylene glycol monoethyl ether,
Cellosolve",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,5.0,ppm,5%を超える含有製剤,5,True
111-15-9,エチレングリコールモノエチルエーテルアセテート,"Ethylene glycol monoethyl ether acetate,
Cellosolve acetate",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,5.0,ppm,5%を超える含有製剤,5,True
111-76-2,エチレングリコールモノ-n-ブチルエーテル,"Ethylene glycol mono-n-butyl ether,
Butyl cellosolve",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,25.0,ppm,5%を超える含有製剤,5,True
109-86-4,エチレングリコールモノメチルエーテル,"Ethylene glycol monomethyl ether,
Methyl cellosolve",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,0.1,ppm,5%を超える含有製剤,5,True
95-50-1,o-ジクロロベンゼン,o-Dichlorobenzene,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,25.0,ppm,5%を超える含有製剤,5,True
1330-20-7,キシレン,"Xylene, mixture of isomers",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
95-47-6,キシレン,o-Xylene,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
108-38-3,キシレン,m-Xylene,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
106-42-3,キシレン,p-Xylene,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
1319-77-3,クレゾール,"Cresol, mixture of isomers",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,5.0,ppm,5%を超える含有製剤,5,True
95-48-7,クレゾール,o-Cresol,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,5.0,ppm,5%を超える含有製剤,5,True
108-39-4,クレゾール,m-Cresol,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,5.0,ppm,5%を超える含有製剤,5,True
106-44-5,クレゾール,p-Cresol,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,5.0,ppm,5%を超える含有製剤,5,True
108-90-7,クロロベンゼン,Chlorobenzene,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,10.0,ppm,5%を超える含有製剤,5,True
110-19-0,酢酸イソブチル,Isobutyl acetate,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,150.0,ppm,5%を超える含有製剤,5,True
108-21-4,酢酸イソプロピル,"Isopropyl Acetate,
Acetic acid, 1-methylethyl ester,
2-Acetoxypropane,
Acetic acid, 2-methylpropyl",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,100.0,ppm,5%を超える含有製剤,5,True
123-92-2,酢酸イソペンチル,"Isopentyl acetate,
Isoamyl acetate",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
141-78-6,酢酸エチル,Ethyl acetate,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,200.0,ppm,5%を超える含有製剤,5,True
123-86-4,酢酸n-ブチル,Butyl acetate,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,150.0,ppm,5%を超える含有製剤,5,True
109-60-4,酢酸n-プロピル,n-Butyl acetate,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,200.0,ppm,5%を超える含有製剤,5,True
79-20-9,酢酸メチル,,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,200.0,ppm,5%を超える含有製剤,5,True
108-93-0,シクロヘキサノール,,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,25.0,ppm,5%を超える含有製剤,5,True
110-82-7,シクロヘキサノン,,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,20.0,ppm,5%を超える含有製剤,5,True
68-12-2,"N,N-ジメチルホルムアミド","N,N-Dimethylformamide",organic,2,有機則第2種,False,False,True,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,10.0,ppm,5%を超える含有製剤,5,True
109-99-9,テトラヒドロフラン,Tetrahydrofuran,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
71-55-6,"1,1,1-トリクロロエタン","1,1,1-Trichloroethane",organic,2,有機則第2種,False,False,True,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,200.0,ppm,5%を超える含有製剤,5,True
108-88-3,トルエン,Toluene,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,20.0,ppm,5%を超える含有製剤,5,True
110-54-3,ノルマルヘキサン,Hexane | n-Hexane,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,40.0,ppm,5%を超える含有製剤,5,True
71-36-3,1-ブタノール,"1-Butanol,
n-butyl alcohol,
n-Butanol,
Propyl carbinol",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,25.0,ppm,5%を超える含有製剤,5,True
78-92-2,2-ブタノール,"2-Butanol,
sec-Butylalcohol,
Butan-2-ol",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,100.0,ppm,5%を超える含有製剤,5,True
67-56-1,メタノール,Methanol,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,200.0,ppm,5%を超える含有製剤,5,True
67-56-1,メタノール,Methanol-d4,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,200.0,ppm,5%を超える含有製剤,5,True
78-93-3,メチルエチルケトン,Methyl ethyl ketone,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,200.0,ppm,5%を超える含有製剤,5,True
25639-42-3,メチルシクロヘキサノール,Methylcyclohexanol (Mixed isomers),organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
590-67-0,メチルシクロヘキサノール,1-Methylcyclohexanol,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
583-59-5,メチルシクロヘキサノール,"2-Methylcyclohexanol, (mixed isomers, cis-, trans-)",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
7443-70-1,メチルシクロヘキサノール,cis-2-Methylcyclohexanol,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
7443-52-9,メチルシクロヘキサノール,"trans-2-Methylcyclohexanol, (mixed isomers, cis-, trans)",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
591-23-1,メチルシクロヘキサノール,"3-Methylcyclohexanol, (mixed isomer)",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
5454-79-5,メチルシクロヘキサノール,cis-3-Methylcyclohexanol,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
7443-55-2,メチルシクロヘキサノール,trans-3-Methylcyclohexanol,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
589-91-3,メチルシクロヘキサノール,"4-Methylcyclohexanol, (mixed isomers)",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
7731-28-4,メチルシクロヘキサノール,cis-4-Methylcyclohexano,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
7731-29-5,メチルシクロヘキサノール,trans-4-Methylcyclohexanol,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
583-60-8,メチルシクロヘキサノン,"2-Methylcyclohexanone,
o-Methylcyclohexanone,
1-Methylcyclohexan-2-one",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
591-24-2,メチルシクロヘキサノン,"3-Methylcyclohexanone,
m-Methylcyclohexanone",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
589-92-4,メチルシクロヘキサノン,"4-Methylcyclohexanone,
p-Methylcyclohexanone",organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,50.0,ppm,5%を超える含有製剤,5,True
591-78-6,メチル-n-ブチルケトン,Methyl n-butyl ketone,organic,2,有機則第2種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,令22-1-6,5.0,ppm,5%を超える含有製剤,5,True
8006-61-9,ガソリン,Gasoline,organic,3,有機則第3種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,○（タンク等内部作業に限る）,,,5%を超える含有製剤,5,False
―,コールタールナフサ（ソルベントナフサを含む。）,Coal tar naphtha,organic,3,有機則第3種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,○（タンク等内部作業に限る）,,,5%を超える含有製剤,5,False
8032-32-4,石油エーテル,"Petroleum ether, Ligroin",organic,3,有機則第3種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,○（タンク等内部作業に限る）,,,5%を超える含有製剤,5,False
64742-95-6,石油ナフサ,Petroleum naphtha,organic,3,有機則第3種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,○（タンク等内部作業に限る）,,,5%を超える含有製剤,5,False
8030-30-6,石油ベンジン,"Ligroin,
Low boiling point naphtha,
Petroleum ether",organic,3,有機則第3種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,○（タンク等内部作業に限る）,,,5%を超える含有製剤,5,False
―,石油ベンジン,Petroleum benzine,organic,3,有機則第3種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,○（タンク等内部作業に限る）,,,5%を超える含有製剤,5,False
8006-64-2,テレビン油,Turpentine Oil,organic,3,有機則第3種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,○（タンク等内部作業に限る）,,,5%を超える含有製剤,5,False
64742-47-8,ミネラルスピリツト（ミネラルシンナー、ペトロリウムスピリツト、ホワイトスピリツト及びミネラルターペンを含む。）,"Mineral spirits (include mineral thinner, petroleum spirits, white spirits and mineral turpentine)",organic,3,有機則第3種,False,False,False,True,有機溶剤等健康診断,6ヶ月以内ごとに1回,○（タンク等内部作業に限る）,,,5%を超える含有製剤,5,False
1317-36-8,鉛及びその化合物（酸化鉛、水酸化鉛その他の厚生労働大臣が指定する物に限る）,,lead,0,鉛則,False,False,False,True,鉛健康診断,6ヶ月以内ごとに1回,,0.05,mg/m³,,5,True
19783-14-3,鉛及びその化合物（酸化鉛、水酸化鉛その他の厚生労働大臣が指定する物に限る）,Lead hydroxide,lead,0,鉛則,False,False,False,True,鉛健康診断,6ヶ月以内ごとに1回,,0.05,mg/m³,,5,True
7758-95-4,鉛及びその化合物（酸化鉛、水酸化鉛その他の厚生労働大臣が指定する物に限る）,Lead(II) chloride,lead,0,鉛則,False,False,False,True,鉛健康診断,6ヶ月以内ごとに1回,,0.05,mg/m³,,5,True
598-63-0,鉛及びその化合物（酸化鉛、水酸化鉛その他の厚生労働大臣が指定する物に限る）,Lead carbonate | Cerussite,lead,0,鉛則,False,False,True,True,鉛健康診断,6ヶ月以内ごとに1回,,0.05,mg/m³,,5,True
10099-76-0,鉛及びその化合物（酸化鉛、水酸化鉛その他の厚生労働大臣が指定する物に限る）,Lead(II) silicate,lead,0,鉛則,False,False,True,True,鉛健康診断,6ヶ月以内ごとに1回,,0.05,mg/m³,,5,True
7446-14-2,鉛及びその化合物（酸化鉛、水酸化鉛その他の厚生労働大臣が指定する物に限る）,Lead sulfate,lead,0,鉛則,False,False,True,True,鉛健康診断,6ヶ月以内ごとに1回,,0.05,mg/m³,,5,True
7758-97-6,鉛及びその化合物（酸化鉛、水酸化鉛その他の厚生労働大臣が指定する物に限る）,Chromic acid lead(II) salt |  Lead(II) chromate | Crocoite,lead,0,鉛則,True,False,False,True,鉛健康診断,6ヶ月以内ごとに1回,,0.05,mg/m³,,5,True
12060-00-3,鉛及びその化合物（酸化鉛、水酸化鉛その他の厚生労働大臣が指定する物に限る）,Lead titanate,lead,0,鉛則,False,False,True,True,鉛健康診断,6ヶ月以内ごとに1回,,0.05,mg/m³,,5,True
14720-53-7,鉛及びその化合物（酸化鉛、水酸化鉛その他の厚生労働大臣が指定する物に限る）,Lead borate,lead,0,鉛則,False,False,True,True,鉛健康診断,6ヶ月以内ごとに1回,,0.05,mg/m³,,5,True
7784-40-9,鉛及びその化合物（酸化鉛、水酸化鉛その他の厚生労働大臣が指定する物に限る）,Lead hydrogen arsenate | Lead arsenate,lead,0,鉛則,True,False,False,True,鉛健康診断,6ヶ月以内ごとに1回,,0.05,mg/m³,,5,True
10099-74-8,鉛及びその化合物（酸化鉛、水酸化鉛その他の厚生労働大臣が指定する物に限る）,,lead,0,鉛則,False,False,False,True,鉛健康診断,6ヶ月以内ごとに1回,,0.05,mg/m³,,5,True
6080-56-4,鉛及びその化合物（酸化鉛、水酸化鉛その他の厚生労働大臣が指定する物に限る）,,lead,0,鉛則,False,False,False,True,鉛健康診断,6ヶ月以内ごとに1回,,0.05,mg/m³,,5,True
301-04-2,鉛及びその化合物（酸化鉛、水酸化鉛その他の厚生労働大臣が指定する物に限る）,,lead,0,鉛則,False,False,False,True,鉛健康診断,6ヶ月以内ごとに1回,,0.05,mg/m³,,5,True
1072-35-1,鉛及びその化合物（酸化鉛、水酸化鉛その他の厚生労働大臣が指定する物に限る）,,lead,0,鉛則,False,False,True,True,鉛健康診断,6ヶ月以内ごとに1回,,0.05,mg/m³,,5,True
―,黄りんマッチ,Phosphorus match,prohibited,0,製造禁止物質,False,False,False,True,製造禁止（特殊健診対象外）,,令22-3（歯科検診,,,,30,False
92-87-5,ベンジジン及びその塩,"Benzidine | 4,4'-Diaminobiphenyl | p-Diaminodiphenyl",prohibited,0,製造禁止物質,False,False,False,True,製造禁止（特殊健診対象外）,,令22-2-1,,,,30,False
79-01-6,トリクロロエチレン,Trichloroethylene,waste,0,廃掃法,False,False,False,False,,,廃掃法施行令 346CO0000000300,,,,5,False
127-18-4,テトラクロロエチレン,Tetrachloroethylene,waste,0,廃掃法,False,False,False,False,,,廃掃法施行令 346CO0000000300,,,,5,False
75-09-2,ジクロロメタン,Dichloromethane,waste,0,廃掃法,False,False,False,False,,,廃掃法施行令 346CO0000000300,,,,5,False
56-23-5,四塩化炭素,Tetrachloromethane,waste,0,廃掃法,False,False,False,False,,,廃掃法施行令 346CO0000000300,,,,5,False
107-06-2,"1,2-ジクロロエタン","1,2-Dichloroethane",waste,0,廃掃法,False,False,False,False,,,廃掃法施行令 346CO0000000300,,,,5,False
75-35-4,"1,1-ジクロロエチレン (別名：塩化ビニリデン）","1,1-Dichloroethylene; Vinylydene dichloride",waste,0,廃掃法,False,False,False,False,,,廃掃法施行令 346CO0000000300,,,,5,False
156-59-2,"cis-1,2-ジクロロエチレン","cis-1,2-Dichloroethylene",waste,0,廃掃法,False,False,False,False,,,廃掃法施行令 346CO0000000300,,,,5,False
71-55-6,"1,1,1-トリクロロエタン","1,1,1-Trichloroethane",waste,0,廃掃法,False,False,False,False,,,廃掃法施行令 346CO0000000300,,,,5,False
79-00-5,"1,1,2-トリクロロエタン","1,1,2-Trichloroethane",waste,0,廃掃法,False,False,False,False,,,廃掃法施行令 346CO0000000300,,,,5,False
542-75-6,"1,3-ジクロロプロペン","Propene, 1,3-dichloro-",waste,0,廃掃法,False,False,False,False,,,廃掃法施行令 346CO0000000300,,,,5,False
71-43-2,ベンゼン,Benzene,waste,0,廃掃法,False,False,False,False,,,廃掃法施行令 346CO0000000300,,,,5,False
123-91-1,"1, 4-ジオキサン","1,4-Dioxane",waste,0,廃掃法,False,False,False,False,,,廃掃法施行令 346CO0000000300,,,,5,False
13189-00-9,亜鉛＝ビス（２－メチルプロパ－２－エノアート）,Zinc bismethacrylate,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
79-06-1,アクリルアミド,Acrylamide,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
140-88-5,アクリル酸エチル,Ethyl acrylate,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
9003-01-4,アクリル酸重合物（ホモポリマー）,"2-Propenoic acid, homopolymer",prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
96-33-3,アクリル酸メチル,Methyl acrylate,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
107-13-1,アクリロニトリル,Acrylonitrile,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
107-02-8,アクロレイン,Acrylaldehyde,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
123-54-6,"アセチルアセトン【2,4-ペンタンジオン】","Acetylacetone [2,4-pentanedione]",prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
75-07-0,アセトアルデヒド,Acetaldehyde,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
75-86-5,アセトンシアノヒドリン,Acetone cyanohydrin,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
83-32-9,アセナフテン,Acenaphthene,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
62-53-3,アニリン,Aniline,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
1698-60-8,5‐アミノ‐4‐クロロ‐2‐フェニルピリダジン‐3（2H）‐オン（別名クロリダゾン）,chloridazon (ISO); 5-amino-4-chloro-2-phenylpyridazine-3-(2H)-one; pyrazon,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
120068-37-3,"5-アミノ-1-[2,6-ジクロロ-4-（トリフルオロメチル）フェニル]-3-シアノ-4-[（トリフルオロメチル）スルフィニル]ピラゾール　（別名：フィプロニル）","5-Amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-3-cyano-4-[(trifluoromethyl)sulfinyl]pyrazole; Fipronil",prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
95-55-6,o‐アミノフェノール,o-Aminophenol,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
123-30-8,p-アミノフェノール,p-Aminophenol,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
21087-64-9,"4‐アミノ‐6‐ターシャリ‐ブチル‐3‐メチルチオ‐1, 2, 4‐トリアジン‐5（4H）‐オン　（別名メトリブジン）","4-Amino-6-tert-butyl-3-methylthio-1,2,4-triazin-5(4H)-one, (Metribuzin)",prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
41394-05-2,"4-アミノ-3-メチル-6-フェニル-1,2,4-トリアジン-5（4H）-オン（別名メタミトロン）","4-Amino-3-methyl-6-phenyl-1,2,4-triazin-5(4H)-one (Metamitron)",prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
107-18-6,アリルアルコール,Allyl alcohol,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
123-68-2,アリル=ヘキサノアート,Allyl hexanoate,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
142-19-8,ヘプタン酸アリル,Allyl heptanoate,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
67762-41-8,アルコール（C=10～16）,Alcohol (C=10-16),prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
2269-22-9,アルミニウムトリ-セカンダリ-ブトキシド,Aluminium tri-sec-butoxide,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
39148-24-8,アルミニウム＝トリス（エチル＝ホスホナート）（別名：ホセチル又はホセチルアルミニウム）,Aluminium triethyl triphosphonate; Fosetyl-aluminum,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
120-51-4,安息香酸ベンジル,benzyl benzoate,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
120-12-7,アントラセン,Anthracene,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
84-65-1,"9,10-アントラキノン","9,10-Anthraquinone",prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
78-79-5,イソプレン,Isoprene,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
80-05-7,ビスフェノールA,Bisphenol A,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
101-21-3,Ｎ-(3-クロロフェニル)カルバミン酸イソプロピル (別名：クロルプロファム),Isopropyl (3-chlorophenyl)carbamate; Chlorpropham,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
149877-41-8,イソプロピル=2- (4-メトキシビフェニル-3-イル)  ヒドラジノホルマート (別名：ビフェナゼート),Isopropyl 2-(4-methoxybiphenyl-3-yl)hydrazinoformate [bifenazate],prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
16219-75-3,５－エチリデン－２－ノルボルネン (別名：エチリデンノルボルネン),5-Ethylidene-2-norbornene; Ethylidene norbornene,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
76578-14-8,エチル=2-[4-（6-クロロ-2-キノキサリニルオキシ）フェノキシ]プロピオナート,Ethyl 2-[4-(6-chloro-2-quinoxalinyloxy)phenoxy]propionate; Quizalofop-ethyl,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
1678-91-7,エチルシクロヘキサン,Ethylcyclohexane,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
14698-29-4,オキソリニック酸,Oxolinic acid,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
36335-67-8,Ｏ－エチル＝Ｏ－（６－ニトロ－ｍ－トリル）＝ｓｅｃ－ブチルホスホルアミドチオアート (別名：ブタミホス),O-Ethyl O-(6-nitro-m-tolyl) sec-butylphosphoramidothioate; Butamifos,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
2104-64-5,O-エチル=O-4-ニトロフェニル=フェニルホスホノチオアート (別名：EPN),O-Ethyl O-4-nitrophenyl phenyl phosphonothioate; EPN,prtr1,0,化管法 第一種指定化学物質,False,False,False,False,,,化管法施行令 412CO0000000138 別表第一,,,,5,False
